"interaction_id","survey_id","Classical_Anxiety","Country_Anxiety","EDM_Anxiety","Folk_Anxiety","Gospel_Anxiety","HipHop_Anxiety","Jass_Anxiety","Kpop_Anxiety","Latin_Anxiety","Lofi_Anxiety","Metal_Anxiety","Pop_Anxiety","RB_Anxiety","Rap_Anxiety","Rock_Anxiety","VideoGameMusic_Anxiety","Classical_Depression","Country_Depression","EDM_Depression","Folk_Depression","Gospel_Depression","HipHop_Depression","Jass_Depression","Kpop_Depression","Latin_Depression","Lofi_Depression","Metal_Depression","Pop_Depression","RB_Depression","Rap_Depression","Rock_Depression","VideoGameMusic_Depression","Classical_Insomnia","Country_Insomnia","EDM_Insomnia","Folk_Insomnia","Gospel_Insomnia","HipHop_Insomnia","Jass_Insomnia","Kpop_Insomnia","Latin_Insomnia","Lofi_Insomnia","Metal_Insomnia","Pop_Insomnia","RB_Insomnia","Rap_Insomnia","Rock_Insomnia","VideoGameMusic_Insomnia","Classical_OCD","Country_OCD","EDM_OCD","Folk_OCD","Gospel_OCD","HipHop_OCD","Jass_OCD","Kpop_OCD","Latin_OCD","Lofi_OCD","Metal_OCD","Pop_OCD","RB_OCD","Rap_OCD","Rock_OCD","VideoGameMusic_OCD"
11,11,0.166667,0.166667,0.166667,0.333333,0.0,0.166667,0.0,0.166667,0.0,0.166667,0.5,0.333333,0.0,0.166667,0.5,0.5,0.166667,0.166667,0.166667,0.333333,0.0,0.166667,0.0,0.166667,0.0,0.166667,0.5,0.333333,0.0,0.166667,0.5,0.5,0.25,0.25,0.25,0.5,0.0,0.25,0.0,0.25,0.0,0.25,0.75,0.5,0.0,0.25,0.75,0.75,0.5,0.5,0.5,1.0,0.0,0.5,0.0,0.5,0.0,0.5,1.5,1.0,0.0,0.5,1.5,1.5
12,12,0.25,0.125,0.0,0.0,0.125,0.125,0.375,0.375,0.125,0.0,0.0,0.375,0.125,0.375,0.25,0.0,0.25,0.125,0.0,0.0,0.125,0.125,0.375,0.375,0.125,0.0,0.0,0.375,0.125,0.375,0.25,0.0,0.222222,0.111111,0.0,0.0,0.111111,0.111111,0.333333,0.333333,0.111111,0.0,0.0,0.333333,0.111111,0.333333,0.222222,0.0,0.4,0.2,0.0,0.0,0.2,0.2,0.6,0.6,0.2,0.0,0.0,0.6,0.2,0.6,0.4,0.0
13,13,0.0,0.0,0.142857,0.0,0.0,0.285714,0.0,0.142857,0.142857,0.0,0.0,0.428571,0.0,0.142857,0.0,0.0,0.0,0.0,0.111111,0.0,0.0,0.222222,0.0,0.111111,0.111111,0.0,0.0,0.333333,0.0,0.111111,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.666667,0.0,0.333333,0.333333,0.0,0.0,1.0,0.0,0.333333,0.0,0.0
14,14,0.25,0.125,0.125,0.375,0.125,0.125,0.125,0.375,0.0,0.25,0.0,0.375,0.25,0.25,0.25,0.0,0.4,0.2,0.2,0.6,0.2,0.2,0.2,0.6,0.0,0.4,0.0,0.6,0.4,0.4,0.4,0.0,0.666667,0.333333,0.333333,1.0,0.333333,0.333333,0.333333,1.0,0.0,0.666667,0.0,1.0,0.666667,0.666667,0.666667,0.0,0.333333,0.166667,0.166667,0.5,0.166667,0.166667,0.166667,0.5,0.0,0.333333,0.0,0.5,0.333333,0.333333,0.333333,0.0
15,15,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.0
16,16,0.333333,0.222222,0.0,0.111111,0.0,0.0,0.0,0.0,0.0,0.0,0.222222,0.111111,0.0,0.0,0.222222,0.0,0.3,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.2,0.0,0.75,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.5,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0
17,17,0.181818,0.0,0.0909091,0.181818,0.0,0.181818,0.0909091,0.0909091,0.0,0.0,0.272727,0.272727,0.272727,0.0909091,0.272727,0.0,0.181818,0.0,0.0909091,0.181818,0.0,0.181818,0.0909091,0.0909091,0.0,0.0,0.272727,0.272727,0.272727,0.0909091,0.272727,0.0,0.5,0.0,0.25,0.5,0.0,0.5,0.25,0.25,0.0,0.0,0.75,0.75,0.75,0.25,0.75,0.0,1.0,0.0,0.5,1.0,0.0,1.0,0.5,0.5,0.0,0.0,1.5,1.5,1.5,0.5,1.5,0.0
18,18,0.0,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.6,0.4,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,0.0,0.0,1.5,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,2.0
19,19,0.5,0.0,1.5,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,1.0,0.5,0.5,1.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,1.5,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,1.0,0.5,0.5
20,20,0.222222,0.222222,0.111111,0.111111,0.111111,0.333333,0.222222,0.0,0.0,0.333333,0.0,0.333333,0.333333,0.333333,0.333333,0.222222,0.285714,0.285714,0.142857,0.142857,0.142857,0.428571,0.285714,0.0,0.0,0.428571,0.0,0.428571,0.428571,0.428571,0.428571,0.285714,0.181818,0.181818,0.0909091,0.0909091,0.0909091,0.272727,0.181818,0.0,0.0,0.272727,0.0,0.272727,0.272727,0.272727,0.272727,0.181818,0.333333,0.333333,0.166667,0.166667,0.166667,0.5,0.333333,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.333333
21,21,0.0,0.0,0.375,0.0,0.0,0.25,0.0,0.375,0.0,0.0,0.0,0.25,0.0,0.25,0.375,0.125,0.0,0.0,0.333333,0.0,0.0,0.222222,0.0,0.333333,0.0,0.0,0.0,0.222222,0.0,0.222222,0.333333,0.111111,0.0,0.0,0.5,0.0,0.0,0.333333,0.0,0.5,0.0,0.0,0.0,0.333333,0.0,0.333333,0.5,0.166667,0.0,0.0,1.5,0.0,0.0,1.0,0.0,1.5,0.0,0.0,0.0,1.0,0.0,1.0,1.5,0.5
22,22,0.0,0.125,0.375,0.0,0.0,0.25,0.0,0.375,0.0,0.0,0.0,0.125,0.375,0.125,0.0,0.0,0.0,0.333333,1.0,0.0,0.0,0.666667,0.0,1.0,0.0,0.0,0.0,0.333333,1.0,0.333333,0.0,0.0,0.0,0.5,1.5,0.0,0.0,1.0,0.0,1.5,0.0,0.0,0.0,0.5,1.5,0.5,0.0,0.0,0.0,0.166667,0.5,0.0,0.0,0.333333,0.0,0.5,0.0,0.0,0.0,0.166667,0.5,0.166667,0.0,0.0
23,23,0.5,0.25,0.25,0.25,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.75,0.5,0.5,0.0,0.0,0.666667,0.333333,0.333333,0.333333,0.333333,0.666667,0.666667,0.0,0.0,0.0,0.0,1.0,0.666667,0.666667,0.0,0.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.5,1.0,1.0,0.0,0.0,0.666667,0.333333,0.333333,0.333333,0.333333,0.666667,0.666667,0.0,0.0,0.0,0.0,1.0,0.666667,0.666667,0.0,0.0
24,24,0.1,0.0,0.1,0.0,0.0,0.3,0.0,0.2,0.0,0.3,0.0,0.2,0.2,0.1,0.1,0.0,0.25,0.0,0.25,0.0,0.0,0.75,0.0,0.5,0.0,0.75,0.0,0.5,0.5,0.25,0.25,0.0,0.333333,0.0,0.333333,0.0,0.0,1.0,0.0,0.666667,0.0,1.0,0.0,0.666667,0.666667,0.333333,0.333333,0.0,0.125,0.0,0.125,0.0,0.0,0.375,0.0,0.25,0.0,0.375,0.0,0.25,0.25,0.125,0.125,0.0
25,25,0.2,0.1,0.3,0.0,0.1,0.1,0.1,0.0,0.0,0.2,0.0,0.3,0.1,0.2,0.1,0.3,2.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,1.0,3.0,0.333333,0.166667,0.5,0.0,0.166667,0.166667,0.166667,0.0,0.0,0.333333,0.0,0.5,0.166667,0.333333,0.166667,0.5,0.181818,0.0909091,0.272727,0.0,0.0909091,0.0909091,0.0909091,0.0,0.0,0.181818,0.0,0.272727,0.0909091,0.181818,0.0909091,0.272727
26,26,0.0,1.0,0.333333,0.666667,0.0,0.666667,0.0,0.0,0.0,0.333333,0.0,0.333333,0.0,1.0,0.0,0.0,0.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.5,0.0,0.0,0.0,1.0,0.333333,0.666667,0.0,0.666667,0.0,0.0,0.0,0.333333,0.0,0.333333,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0
27,27,0.0,0.0,0.333333,0.0,0.0,1.0,0.666667,0.666667,0.333333,0.666667,0.0,1.0,1.0,1.0,0.666667,0.333333,0.0,0.0,0.125,0.0,0.0,0.375,0.25,0.25,0.125,0.25,0.0,0.375,0.375,0.375,0.25,0.125,0.0,0.0,0.5,0.0,0.0,1.5,1.0,1.0,0.5,1.0,0.0,1.5,1.5,1.5,1.0,0.5,0.0,0.0,0.5,0.0,0.0,1.5,1.0,1.0,0.5,1.0,0.0,1.5,1.5,1.5,1.0,0.5
28,28,0.5,0.0,0.166667,0.5,0.0,0.0,0.0,0.333333,0.0,0.166667,0.5,0.166667,0.0,0.0,0.333333,0.5,0.6,0.0,0.2,0.6,0.0,0.0,0.0,0.4,0.0,0.2,0.6,0.2,0.0,0.0,0.4,0.6,0.272727,0.0,0.0909091,0.272727,0.0,0.0,0.0,0.181818,0.0,0.0909091,0.272727,0.0909091,0.0,0.0,0.181818,0.272727,1.0,0.0,0.333333,1.0,0.0,0.0,0.0,0.666667,0.0,0.333333,1.0,0.333333,0.0,0.0,0.666667,1.0
29,29,0.142857,0.0,0.0,0.142857,0.0,0.0,0.0,0.0,0.0,0.285714,0.428571,0.142857,0.0,0.0,0.285714,0.142857,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.25,0.0,0.0,0.5,0.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.5,0.0,0.0,1.0,0.5
30,30,0.0,0.0,0.666667,0.0,0.0,1.0,0.333333,0.666667,0.0,0.0,0.333333,1.0,0.666667,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.2,0.4,0.0,0.0,0.2,0.6,0.4,0.6,0.6,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,3.0,2.0,3.0,3.0,0.0
31,31,0.125,0.0,0.0,0.0,0.0,0.25,0.125,0.0,0.125,0.0,0.0,0.375,0.25,0.125,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.333333,0.166667,0.0,0.166667,0.0,0.0,0.5,0.333333,0.166667,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.333333,0.166667,0.0,0.166667,0.0,0.0,0.5,0.333333,0.166667,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.25,0.0,0.0,0.75,0.5,0.25,0.0,0.0
32,32,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.222222,0.222222,0.0,0.111111,0.0,0.0,0.111111,0.0,0.111111,0.0,0.333333,0.333333,0.0,0.0,0.333333,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0
33,33,0.125,0.125,0.125,0.125,0.0,0.25,0.125,0.125,0.0,0.0,0.125,0.375,0.125,0.25,0.25,0.25,0.0909091,0.0909091,0.0909091,0.0909091,0.0,0.181818,0.0909091,0.0909091,0.0,0.0,0.0909091,0.272727,0.0909091,0.181818,0.181818,0.181818,0.166667,0.166667,0.166667,0.166667,0.0,0.333333,0.166667,0.166667,0.0,0.0,0.166667,0.5,0.166667,0.333333,0.333333,0.333333,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,2.0
34,34,0.428571,0.142857,0.0,0.0,0.0,0.0,0.428571,0.0,0.285714,0.142857,0.285714,0.285714,0.0,0.0,0.285714,0.142857,0.6,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.4,0.2,0.4,0.4,0.0,0.0,0.4,0.2,0.375,0.125,0.0,0.0,0.0,0.0,0.375,0.0,0.25,0.125,0.25,0.25,0.0,0.0,0.25,0.125,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0
35,35,0.222222,0.0,0.0,0.111111,0.0,0.222222,0.222222,0.0,0.222222,0.111111,0.111111,0.333333,0.222222,0.222222,0.333333,0.222222,0.285714,0.0,0.0,0.142857,0.0,0.285714,0.285714,0.0,0.285714,0.142857,0.142857,0.428571,0.285714,0.285714,0.428571,0.285714,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0
36,36,0.1,0.0,0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.111111,0.0,0.111111,0.222222,0.0,0.0,0.111111,0.0,0.0,0.0,0.0,0.111111,0.0,0.0,0.333333,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.5,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0
37,37,0.6,0.0,0.2,0.0,0.0,0.4,0.4,0.6,0.0,0.6,0.0,0.6,0.4,0.2,0.2,0.2,0.75,0.0,0.25,0.0,0.0,0.5,0.5,0.75,0.0,0.75,0.0,0.75,0.5,0.25,0.25,0.25,3.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,3.0,0.0,3.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,3.0,0.0,3.0,2.0,1.0,1.0,1.0
38,38,0.111111,0.222222,0.111111,0.0,0.111111,0.333333,0.111111,0.111111,0.111111,0.111111,0.0,0.222222,0.222222,0.222222,0.222222,0.0,0.111111,0.222222,0.111111,0.0,0.111111,0.333333,0.111111,0.111111,0.111111,0.111111,0.0,0.222222,0.222222,0.222222,0.222222,0.0,0.166667,0.333333,0.166667,0.0,0.166667,0.5,0.166667,0.166667,0.166667,0.166667,0.0,0.333333,0.333333,0.333333,0.333333,0.0,0.0909091,0.181818,0.0909091,0.0,0.0909091,0.272727,0.0909091,0.0909091,0.0909091,0.0909091,0.0,0.181818,0.181818,0.181818,0.181818,0.0
39,39,0.125,0.0,0.25,0.25,0.0,0.375,0.125,0.375,0.25,0.375,0.125,0.375,0.375,0.375,0.25,0.25,0.142857,0.0,0.285714,0.285714,0.0,0.428571,0.142857,0.428571,0.285714,0.428571,0.142857,0.428571,0.428571,0.428571,0.285714,0.285714,0.125,0.0,0.25,0.25,0.0,0.375,0.125,0.375,0.25,0.375,0.125,0.375,0.375,0.375,0.25,0.25,0.166667,0.0,0.333333,0.333333,0.0,0.5,0.166667,0.5,0.333333,0.5,0.166667,0.5,0.5,0.5,0.333333,0.333333
40,40,0.0,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.375,0.0,0.0,0.125,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.333333,0.0,0.0,0.0,1.0,0.0,0.0,0.333333,0.666667,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.5,0.0
41,41,0.125,0.125,0.0,0.0,0.0,0.25,0.125,0.125,0.125,0.125,0.125,0.375,0.125,0.25,0.25,0.125,0.166667,0.166667,0.0,0.0,0.0,0.333333,0.166667,0.166667,0.166667,0.166667,0.166667,0.5,0.166667,0.333333,0.333333,0.166667,0.2,0.2,0.0,0.0,0.0,0.4,0.2,0.2,0.2,0.2,0.2,0.6,0.2,0.4,0.4,0.2,0.5,0.5,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,1.5,0.5,1.0,1.0,0.5
42,42,0.0,0.0,1.0,0.0,0.333333,0.666667,0.666667,0.0,0.0,0.0,0.0,1.0,1.0,0.666667,0.666667,0.0,0.0,0.0,0.375,0.0,0.125,0.25,0.25,0.0,0.0,0.0,0.0,0.375,0.375,0.25,0.25,0.0,0.0,0.0,0.5,0.0,0.166667,0.333333,0.333333,0.0,0.0,0.0,0.0,0.5,0.5,0.333333,0.333333,0.0,0.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0
43,43,0.333333,0.666667,0.0,1.0,0.0,0.333333,0.666667,0.0,0.666667,0.666667,0.333333,1.0,0.333333,0.0,1.0,0.333333,0.5,1.0,0.0,1.5,0.0,0.5,1.0,0.0,1.0,1.0,0.5,1.5,0.5,0.0,1.5,0.5,1.0,2.0,0.0,3.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,3.0,1.0,0.0,3.0,1.0,1.0,2.0,0.0,3.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,3.0,1.0,0.0,3.0,1.0
44,44,0.125,0.25,0.25,0.25,0.0,0.125,0.125,0.125,0.0,0.375,0.25,0.375,0.375,0.25,0.375,0.25,0.111111,0.222222,0.222222,0.222222,0.0,0.111111,0.111111,0.111111,0.0,0.333333,0.222222,0.333333,0.333333,0.222222,0.333333,0.222222,0.142857,0.285714,0.285714,0.285714,0.0,0.142857,0.142857,0.142857,0.0,0.428571,0.285714,0.428571,0.428571,0.285714,0.428571,0.285714,0.166667,0.333333,0.333333,0.333333,0.0,0.166667,0.166667,0.166667,0.0,0.5,0.333333,0.5,0.5,0.333333,0.5,0.333333
45,45,0.181818,0.0,0.181818,0.0,0.0,0.0909091,0.0909091,0.0,0.0,0.181818,0.181818,0.181818,0.0,0.0909091,0.0909091,0.0,0.25,0.0,0.25,0.0,0.0,0.125,0.125,0.0,0.0,0.25,0.25,0.25,0.0,0.125,0.125,0.0,0.222222,0.0,0.222222,0.0,0.0,0.111111,0.111111,0.0,0.0,0.222222,0.222222,0.222222,0.0,0.111111,0.111111,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0
46,46,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.222222,0.333333,0.0,0.111111,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.222222,0.333333,0.0,0.111111,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.0,0.25
