"encoded_id";"survey_id";"Frequency_Classical_Encoded";"Frequency_Country_Encoded";"Frequency_EDM_Encoded";"Frequency_Folk_Encoded";"Frequency_Gospel_Encoded";"Frequency_HipHop_Encoded";"Frequency_Jazz_Encoded";"Frequency_Kpop_Encoded";"Frequency_Latin_Encoded";"Frequency_Lofi_Encoded";"Frequency_Metal_Encoded";"Frequency_Pop_Encoded";"Frequency_RB_Encoded";"Frequency_Rap_Encoded";"Frequency_Rock_Encoded";"Frequency_VideoGameMusic_Encoded"
66;66;0;2;0;1;2;0;2;1;0;0;2;3;0;0;3;0
67;67;2;1;2;3;0;1;2;1;1;2;2;2;1;1;3;2
68;68;1;0;2;1;0;3;2;3;2;1;1;3;1;3;2;2
69;69;2;0;0;1;2;0;1;0;0;0;0;2;1;0;2;2
70;70;2;1;1;2;0;1;1;1;1;2;2;3;1;1;3;3
71;71;2;1;0;2;0;1;1;0;1;1;2;2;2;1;3;3
72;72;0;1;1;0;0;2;0;0;0;1;1;2;0;3;2;0
73;73;2;0;1;0;0;2;1;0;0;1;1;3;3;3;3;3
74;74;1;1;3;1;1;3;1;1;1;1;1;2;1;3;3;1
75;75;1;0;3;1;1;2;1;0;1;1;0;2;1;1;1;0
76;76;3;1;0;1;0;1;2;0;1;0;0;3;2;0;2;2
77;77;0;0;0;3;0;2;0;0;0;2;3;1;0;1;3;2
78;78;1;1;2;3;1;3;2;0;0;1;1;1;3;3;2;1
79;79;2;0;0;0;0;3;1;0;1;0;0;2;2;3;0;0
80;80;1;0;0;1;0;0;0;0;0;0;3;1;0;2;3;0
81;81;2;0;0;0;0;1;0;0;0;1;0;3;3;1;0;0
82;82;1;0;3;0;0;0;0;3;0;1;3;1;0;0;3;3
83;83;1;2;2;2;0;3;1;0;0;2;2;2;3;3;3;0
84;84;0;3;1;1;0;0;1;2;3;1;1;3;1;0;2;2
85;85;0;1;1;0;0;1;3;2;1;3;0;3;2;1;1;3
86;86;2;1;1;2;0;2;1;1;2;3;3;2;2;2;3;3
87;87;1;0;1;0;0;2;0;3;3;1;0;3;2;3;0;2
88;88;2;1;0;3;1;1;2;0;1;2;1;3;2;1;3;1
89;89;0;2;1;3;2;1;1;1;1;1;2;1;3;1;3;1
90;90;0;0;1;2;1;2;1;0;2;0;0;3;2;1;3;0
91;91;2;1;1;3;0;1;2;0;0;2;2;3;1;1;3;2
92;92;2;0;0;1;2;1;3;1;2;1;0;2;2;1;3;1
93;93;0;1;1;1;0;0;0;1;0;2;1;2;0;1;3;3
94;94;2;1;2;1;0;1;1;0;0;0;3;1;0;1;2;3
95;95;0;0;3;0;0;1;1;3;0;2;2;1;0;1;1;3
96;96;2;0;0;2;0;0;0;0;0;1;0;3;1;0;2;1
97;97;2;0;0;1;0;0;2;0;0;1;1;2;0;0;3;1
98;98;1;1;0;0;0;0;1;0;0;0;2;1;1;0;2;2
99;99;1;2;1;2;0;3;1;0;3;3;3;3;3;3;3;1
100;100;1;0;2;0;0;0;0;3;0;0;1;2;0;0;1;0
101;101;1;0;0;1;0;0;2;0;0;0;2;2;0;0;2;0
102;102;1;0;0;1;1;2;1;0;3;3;1;2;3;2;2;2
103;103;0;2;3;1;1;2;0;3;1;1;1;3;2;2;1;2
104;104;2;0;0;1;2;0;3;2;3;2;0;2;2;0;0;0
105;105;3;0;0;1;1;2;2;3;1;3;0;2;3;2;0;1
106;106;0;0;0;0;0;2;0;3;2;0;1;3;2;2;1;0
107;107;1;3;0;3;3;2;1;0;1;0;2;2;1;1;1;2
108;108;1;1;1;2;0;0;1;1;1;3;2;3;0;1;2;2
109;109;0;2;1;2;1;1;0;1;0;2;0;3;1;1;3;1
110;110;1;1;1;1;1;2;2;2;0;0;1;3;1;2;2;0
111;111;0;1;1;3;0;3;2;0;2;2;3;2;2;2;3;1
112;112;1;2;1;1;0;2;1;0;0;1;1;3;2;2;3;0
113;113;0;1;0;3;0;1;2;0;0;1;1;1;0;0;2;3
114;114;3;0;1;0;1;2;1;0;2;0;2;1;0;2;2;0
115;115;0;0;1;0;1;3;0;3;2;2;0;2;3;3;0;1
116;116;0;3;0;0;0;2;0;0;0;0;0;3;1;2;2;1
117;117;0;0;2;0;0;0;0;0;0;0;0;3;0;0;3;0
118;118;2;0;2;1;0;1;1;0;0;1;3;1;1;1;3;0
119;119;2;2;2;1;0;1;2;1;1;3;0;2;3;1;2;3
120;120;1;0;3;1;0;0;0;0;0;1;1;2;1;0;3;3
121;121;2;1;2;1;0;1;2;1;1;0;1;2;1;1;2;1
122;122;3;0;0;0;0;1;1;0;0;2;0;3;0;0;0;3
123;123;3;1;1;3;0;1;0;0;0;2;2;1;0;1;3;3
124;124;1;0;0;2;0;2;1;0;0;0;2;3;1;2;3;1
125;125;1;2;0;0;0;2;3;3;1;3;1;3;3;3;3;0
126;126;1;1;0;0;2;2;1;3;0;1;0;2;3;2;0;1
127;127;2;0;0;1;0;1;2;0;0;0;1;2;0;1;3;0
128;128;2;0;1;2;1;1;2;0;1;1;1;1;1;0;0;2
129;129;2;2;1;3;0;0;0;1;1;0;3;1;0;0;3;3
130;130;1;3;1;2;1;3;2;1;2;2;2;2;1;2;3;0
131;131;2;1;0;1;0;2;2;1;0;1;0;2;3;3;3;1
132;132;0;0;0;1;0;1;2;1;0;2;3;2;0;0;2;2
133;133;0;0;0;0;0;2;0;0;1;0;0;2;1;1;3;0
134;134;2;2;1;2;0;1;0;0;0;0;2;2;0;1;3;0
135;135;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;1
136;136;2;1;0;3;1;0;1;0;0;2;2;1;0;0;3;0
137;137;1;3;1;0;0;1;1;0;2;0;1;3;1;0;2;0
138;138;0;0;1;0;0;3;1;3;0;2;0;2;2;1;0;1
139;139;2;2;2;1;0;1;0;0;0;1;3;3;1;2;3;2
140;140;1;1;1;3;0;2;1;1;0;1;1;3;1;2;3;1
141;141;1;0;2;3;2;1;1;2;2;3;2;3;2;0;3;3
142;142;2;1;0;2;1;1;2;1;1;1;3;2;1;1;3;2
143;143;1;0;3;2;0;2;0;1;2;0;0;3;1;2;2;0
144;144;0;3;1;2;0;1;0;0;0;0;2;2;0;1;3;0
145;145;0;3;0;2;0;0;0;0;0;0;3;0;0;0;3;0
146;146;1;2;2;2;1;3;1;1;2;2;2;3;3;3;3;2
147;147;2;1;0;1;0;0;1;0;0;0;3;1;0;0;3;0
148;148;0;1;1;1;0;2;0;1;0;2;1;2;3;1;3;1
149;149;1;1;3;1;0;2;2;2;0;1;3;3;1;2;3;1
150;150;2;0;2;1;0;1;2;2;0;3;0;2;1;1;0;3
151;151;3;1;1;2;1;3;2;3;2;3;3;3;2;1;2;1
152;152;1;0;2;2;0;1;0;1;0;2;3;2;1;1;3;2
153;153;2;1;0;1;1;1;0;0;0;0;3;2;1;1;3;0
154;154;0;0;1;1;0;1;0;0;0;1;0;1;0;1;3;0
155;155;1;0;1;1;1;1;1;0;0;1;0;3;1;1;2;2
156;156;1;0;2;0;0;2;1;0;0;3;2;0;0;2;1;3
157;157;3;0;0;1;0;0;1;0;0;0;1;2;1;0;2;0
158;158;2;0;2;2;0;0;0;0;0;1;1;1;1;0;3;1
159;159;3;0;1;1;0;2;2;0;1;1;1;2;2;2;3;2
160;160;1;1;1;3;1;2;1;0;1;2;0;1;2;2;1;2
161;161;1;0;0;1;0;0;2;1;0;2;1;2;1;0;3;1
162;162;1;1;3;1;0;2;0;0;0;1;1;2;2;2;2;2
163;163;2;1;3;1;1;1;3;2;0;2;2;2;2;1;3;2
164;164;0;1;0;3;0;1;0;0;0;0;3;1;0;0;3;1
165;165;2;1;0;0;0;1;0;0;2;0;2;1;1;1;3;2
166;166;1;0;3;0;0;1;0;1;0;0;1;2;1;1;3;2
167;167;2;1;3;1;1;1;2;2;0;1;3;2;2;1;2;2
168;168;1;0;0;1;0;2;3;0;3;1;2;1;2;1;3;1
169;169;2;1;3;0;0;2;3;3;2;2;2;3;3;1;2;2
170;170;3;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1
171;171;3;2;2;2;2;3;3;1;2;2;1;3;3;3;2;0
172;172;1;0;1;1;0;1;0;1;0;1;2;3;1;2;3;3
173;173;2;0;1;0;0;3;1;1;0;1;0;2;3;2;0;1
174;174;1;1;0;2;0;2;3;0;1;0;2;3;3;3;3;0
175;175;1;0;1;0;0;3;3;1;2;3;0;2;2;2;1;3
176;176;2;1;0;2;1;2;1;1;0;1;2;2;1;2;3;2
177;177;2;1;2;1;0;2;0;0;0;0;3;2;2;2;3;1
178;178;3;0;0;0;0;3;3;1;3;2;2;1;2;1;0;1
179;179;2;0;0;0;0;0;1;0;0;1;2;2;1;0;2;0
180;180;1;0;1;1;0;1;1;0;1;1;1;3;1;1;3;1
181;181;0;2;3;1;0;0;0;0;0;0;1;2;0;0;3;1
182;182;2;1;2;1;0;2;1;1;0;0;0;3;1;1;2;1
183;183;1;0;1;2;0;0;0;1;0;3;1;2;0;0;3;2
184;184;2;1;2;1;0;1;0;2;1;2;3;1;0;1;3;2
185;185;0;3;0;0;0;0;0;0;0;0;3;3;0;2;3;1
186;186;1;1;0;1;1;2;0;0;0;0;0;3;1;2;2;1
187;187;0;0;1;1;0;3;1;0;1;1;3;2;1;3;3;0
188;188;0;0;0;0;0;0;1;0;0;1;3;0;0;1;3;2
189;189;1;0;0;0;0;0;1;0;0;0;3;0;0;1;2;1
190;190;1;0;0;2;0;3;2;0;2;2;0;3;1;3;3;3
191;191;2;1;0;2;0;2;0;0;0;0;2;2;1;1;3;1
192;192;0;0;3;0;0;2;0;0;0;0;0;1;1;2;0;1
193;193;0;0;2;0;0;1;0;2;2;1;0;3;2;1;2;1
194;194;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
195;195;0;0;1;3;0;1;1;0;3;1;2;3;1;2;3;1
196;196;2;2;1;1;0;0;0;0;0;0;3;2;2;0;3;2
197;197;0;0;1;0;0;0;0;0;0;0;3;1;0;1;2;0
198;198;0;0;1;0;0;1;0;2;0;3;2;3;2;1;3;0
199;199;2;1;0;0;0;1;2;0;0;1;3;1;0;1;3;2
200;200;3;1;0;0;0;1;2;1;0;2;0;3;0;0;0;1
201;201;0;0;1;0;0;2;0;0;0;2;0;1;1;3;0;1
202;202;0;1;0;1;0;0;0;0;2;0;1;1;1;1;3;1
203;203;1;0;3;0;0;3;2;3;0;1;2;3;1;3;3;3
204;204;3;1;0;1;0;0;2;0;1;0;3;2;1;0;3;0
205;205;1;0;0;2;0;0;0;0;0;0;0;2;1;0;3;0
206;206;2;0;1;0;0;1;1;0;0;0;0;2;0;0;3;2
207;207;1;0;2;2;0;1;0;0;0;1;1;2;0;0;3;2
208;208;0;3;0;2;0;1;0;0;0;0;0;1;1;1;2;0
209;209;1;2;2;0;0;1;1;3;1;0;0;3;3;1;1;1
210;210;2;2;2;1;1;3;1;3;0;3;0;3;3;3;3;1
211;211;3;2;0;3;2;3;2;2;0;3;2;1;3;3;2;3
212;212;1;0;3;1;0;1;2;1;1;1;0;3;3;1;2;0
213;213;1;1;0;1;0;2;0;0;0;0;3;0;0;2;2;2
214;214;0;0;0;0;0;1;0;1;0;0;3;3;0;3;3;3
215;215;0;3;1;2;0;1;2;0;3;0;1;2;3;2;3;0
216;216;1;0;3;0;0;0;3;0;2;0;0;2;0;0;3;3
217;217;2;1;2;1;0;3;3;1;2;3;0;2;1;2;3;2
218;218;1;1;0;1;1;2;2;0;1;1;0;3;3;2;2;1
219;219;0;0;1;0;0;3;1;0;0;2;0;3;3;3;3;0
220;220;2;1;3;1;2;2;2;3;1;3;3;3;2;2;3;3
221;221;1;2;2;0;0;2;0;0;1;0;3;2;1;2;2;2
222;222;1;0;2;0;0;3;2;0;0;2;3;1;2;3;2;2
223;223;1;1;3;0;1;0;3;1;1;0;2;1;2;0;3;2
224;224;2;1;2;0;0;3;2;1;0;2;1;3;2;2;2;2
225;225;1;1;3;2;0;1;2;1;0;1;1;3;2;2;2;2
226;226;1;0;2;0;0;1;1;0;0;0;1;3;3;3;3;0
227;227;0;1;3;0;0;1;0;0;1;1;3;2;2;2;3;1
228;228;1;1;1;1;2;1;2;0;1;1;3;2;1;1;3;2
229;229;0;1;0;1;0;0;0;0;0;0;0;2;2;0;2;0
230;230;2;1;0;0;0;3;2;3;1;0;0;3;1;3;2;1
231;231;1;0;3;0;0;1;1;0;0;1;2;2;0;3;3;2
232;232;1;0;0;1;2;3;1;3;3;3;0;2;3;3;1;0
233;233;2;0;0;0;0;1;1;0;0;1;0;3;1;1;0;1
234;234;2;1;2;0;0;2;2;0;0;2;2;1;1;1;2;2
235;235;0;0;0;0;0;0;0;0;0;0;1;3;0;2;2;1
236;236;1;1;2;0;0;0;1;0;0;0;0;3;0;0;1;1
237;237;0;1;1;0;2;2;0;0;0;0;3;0;1;2;3;0
238;238;2;0;2;0;0;1;1;1;0;2;1;2;1;2;2;2
239;239;2;2;1;1;0;2;0;1;0;1;0;3;1;1;3;1
240;240;0;0;0;0;0;0;0;0;0;0;3;2;0;0;3;0
241;241;2;1;2;1;0;3;3;0;0;0;2;1;1;3;3;1
242;242;0;0;3;0;0;2;0;0;0;0;1;0;0;2;0;0
243;243;0;1;3;1;0;3;0;0;0;0;0;2;2;3;2;0
244;244;3;1;0;3;0;1;2;1;1;1;0;3;2;1;1;0
245;245;0;0;0;3;0;1;0;0;0;0;2;3;0;1;2;0
246;246;1;0;2;1;0;2;1;0;0;1;1;2;2;0;3;2
247;247;1;1;2;3;0;2;1;0;0;2;1;2;2;2;1;1
248;248;1;2;2;2;0;2;1;1;1;1;1;3;0;2;3;3
249;249;1;1;3;2;1;2;1;0;0;1;2;2;2;2;3;3
250;250;1;2;3;2;1;2;2;1;1;2;3;2;2;3;2;3
251;251;2;0;0;2;1;2;1;0;0;1;0;3;1;1;2;0
252;252;1;0;1;2;0;1;1;0;0;1;2;3;2;1;3;1
253;253;0;1;2;1;0;2;0;0;0;2;1;2;2;2;2;0
254;254;3;2;1;3;2;2;2;1;2;1;3;3;2;1;3;3
255;255;1;2;0;2;0;0;0;0;1;0;2;3;1;0;3;0
256;256;3;0;1;0;0;1;1;3;0;1;0;3;0;1;0;3
257;257;3;0;0;0;0;1;2;0;0;0;0;1;1;1;2;1
258;258;3;1;2;2;1;1;2;1;1;3;1;3;3;1;3;3
259;259;0;3;0;1;0;2;0;0;1;0;2;0;0;2;3;1
260;260;1;1;2;0;0;2;0;2;1;2;3;2;1;3;3;3
261;261;1;3;0;3;2;1;2;0;3;1;0;2;2;1;2;0
262;262;0;1;2;2;1;1;2;1;1;1;3;3;2;2;3;2
263;263;3;0;0;0;1;1;0;0;2;1;2;1;0;1;0;0
264;264;0;1;2;0;0;1;1;0;0;0;0;2;1;1;3;1
265;265;1;0;0;1;0;0;0;0;0;0;1;3;1;0;3;0
266;266;1;0;1;0;1;3;1;3;2;0;0;2;3;3;0;0
267;267;3;0;1;1;0;0;0;0;3;1;1;2;2;1;3;1
268;268;0;0;0;0;0;0;0;0;0;2;0;3;0;0;3;2
269;269;2;2;2;2;1;2;2;0;2;2;1;2;2;2;3;1
270;270;0;3;1;2;1;2;0;0;0;0;1;2;1;2;2;0
271;271;2;0;0;0;0;0;0;0;0;0;3;1;0;0;3;2
272;272;1;0;3;2;0;1;1;1;1;2;2;3;2;1;3;3
273;273;2;0;2;0;0;1;1;1;0;1;2;2;2;2;3;2
274;274;1;1;3;1;1;1;1;1;0;2;3;2;1;1;2;3
275;275;2;0;3;0;0;1;1;2;0;2;0;3;1;2;2;3
276;276;2;1;0;1;2;2;3;2;0;1;2;1;2;1;3;0
277;277;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1
278;278;2;1;1;2;0;2;2;1;1;3;3;2;1;2;2;2
279;279;1;1;3;1;1;1;0;0;0;2;1;2;1;1;2;3
280;280;3;2;0;0;0;2;1;1;1;0;1;2;2;1;1;0
281;281;2;2;0;2;0;0;1;0;0;1;0;1;0;0;2;2
282;282;0;1;1;0;0;1;1;3;1;1;0;3;1;2;2;0
283;283;3;2;2;2;0;0;3;1;1;0;3;1;0;1;3;1
284;284;0;0;0;0;0;2;2;0;0;2;0;3;0;2;2;0
285;285;3;0;0;0;0;1;0;0;0;1;2;2;0;1;3;1
286;286;1;2;0;0;0;0;0;1;3;0;0;3;2;2;0;0
287;287;0;1;0;0;0;1;0;0;0;0;0;2;1;0;2;0
288;288;3;0;2;1;0;0;1;1;0;0;1;3;0;0;2;2
289;289;3;3;0;1;0;1;0;0;0;0;3;2;0;1;3;1
290;290;0;3;0;1;0;0;0;0;0;0;1;1;0;1;2;1
291;291;1;1;0;2;0;0;1;0;0;0;1;2;1;0;3;2
292;292;3;0;1;0;0;2;2;1;1;1;2;2;2;2;2;1
293;293;0;0;1;0;0;2;1;0;1;0;0;3;0;1;2;3
294;294;3;0;0;0;1;0;2;0;0;0;0;0;0;0;1;2
295;295;1;1;0;3;0;2;2;0;0;0;3;3;3;2;3;0
296;296;1;3;0;1;3;3;2;1;0;1;0;3;3;3;3;2
297;297;3;0;2;0;0;3;2;1;3;2;1;2;2;3;1;2
298;298;3;1;0;1;1;2;1;0;0;0;1;2;0;0;3;2
299;299;0;2;0;3;0;0;0;0;0;0;0;3;0;0;0;0
300;300;1;2;0;3;1;2;0;0;0;2;0;0;0;2;1;1
301;301;2;1;1;2;0;1;0;3;0;2;0;3;3;3;3;0
302;302;3;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
303;303;3;0;2;0;0;0;0;3;0;0;0;0;0;0;1;0
304;304;3;1;0;0;1;0;0;0;0;0;0;3;0;0;0;1
305;305;2;0;1;0;0;0;1;0;0;1;2;1;0;0;2;1
306;306;1;0;0;0;0;1;1;0;0;2;1;3;3;0;0;2
307;307;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;1
308;308;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3
309;309;2;2;2;2;1;2;1;1;0;0;2;2;2;2;3;0
310;310;1;1;3;1;1;2;2;2;1;2;1;3;2;2;2;2
311;311;2;0;0;0;0;0;1;0;0;1;2;0;0;0;3;0
312;312;0;2;0;0;0;0;3;0;2;0;0;1;3;0;3;0
313;313;1;2;3;3;0;2;2;0;1;2;3;3;2;2;3;2
314;314;2;3;1;2;3;2;2;1;3;0;1;2;3;2;2;0
315;315;3;1;0;1;0;0;0;2;0;0;3;1;0;1;2;3
316;316;1;1;2;2;1;3;1;2;1;2;1;3;1;1;1;1
317;317;3;2;1;3;0;1;2;0;1;0;0;0;1;0;3;0
318;318;1;0;2;0;0;2;1;0;0;1;0;2;1;3;2;2
319;319;1;1;0;1;0;1;0;0;0;2;1;2;0;1;2;0
320;320;3;1;0;1;0;1;1;0;0;1;0;3;0;0;1;1
321;321;1;3;2;3;1;2;2;0;1;2;2;2;1;2;3;2
322;322;3;1;0;0;1;2;1;1;0;0;0;2;0;1;2;0
323;323;1;2;1;2;2;2;2;0;1;1;2;1;2;2;2;0
324;324;0;1;1;2;0;3;1;1;1;2;2;3;2;3;3;0
325;325;2;1;0;1;2;1;2;1;1;0;0;1;0;0;0;0
326;326;2;0;1;2;0;1;2;3;2;2;1;3;2;1;3;0
327;327;0;2;0;0;0;0;2;0;0;0;1;0;1;0;3;0
328;328;3;1;1;1;1;2;1;3;1;2;1;3;3;3;1;1
329;329;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
330;330;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
331;331;1;1;3;1;0;1;1;0;0;3;1;2;0;1;1;3
332;332;1;0;0;0;0;1;2;1;1;0;1;2;1;1;1;3
333;333;2;2;0;2;1;0;1;0;1;0;1;2;2;1;3;1
334;334;2;2;1;1;1;3;1;3;1;2;1;2;2;3;1;2
335;335;1;1;2;0;2;1;2;2;0;0;0;3;2;0;2;3
336;336;0;0;3;0;0;2;1;0;0;2;2;1;1;1;2;2
337;337;2;0;3;0;0;2;0;2;0;0;0;2;0;0;2;2
338;338;0;2;0;3;0;0;0;0;0;0;0;0;0;0;2;0
339;339;3;1;3;1;2;3;2;0;2;3;2;3;3;3;2;3
340;340;0;0;0;0;0;3;0;1;0;1;0;1;0;3;0;0
341;341;0;0;2;2;0;1;0;2;2;0;0;3;3;2;1;0
342;342;1;2;2;2;0;2;1;2;0;3;3;3;0;0;3;2
343;343;2;0;2;1;2;3;3;0;2;3;0;1;3;2;2;0
344;344;2;1;1;3;0;2;0;2;0;3;3;2;1;2;3;3
345;345;1;0;2;1;0;3;1;0;2;1;2;3;2;3;2;1
346;346;0;0;3;0;0;0;0;0;0;1;2;0;0;0;3;3
347;347;1;2;0;2;0;3;3;0;0;0;3;3;3;3;3;0
348;348;3;1;0;1;0;0;2;0;0;2;0;3;1;0;0;0
349;349;1;2;3;2;0;2;1;0;0;1;2;0;0;3;3;3
350;350;0;0;2;0;0;1;0;0;0;1;0;1;0;0;2;3
351;351;1;2;0;3;0;2;2;0;1;2;0;1;1;2;3;0
352;352;1;0;3;1;0;0;0;0;0;2;1;3;0;0;3;2
353;353;1;0;0;2;0;2;0;1;3;1;1;3;2;2;1;0
354;354;3;1;0;0;0;0;0;1;0;2;0;3;0;0;1;2
355;355;0;0;1;0;0;3;0;0;2;1;0;2;3;3;1;0
356;356;2;1;1;3;1;2;2;1;1;2;2;2;1;2;3;3
357;357;1;1;0;0;0;1;0;3;1;1;1;3;1;1;1;0
358;358;0;1;3;2;3;0;0;0;0;1;3;1;0;0;2;1
359;359;1;3;2;1;1;1;1;1;1;3;1;1;1;1;1;1
360;360;1;2;2;0;0;1;0;2;0;2;0;3;0;1;3;1
361;361;2;1;1;1;1;2;2;1;2;3;1;2;2;1;2;2
362;362;1;0;2;0;0;1;0;3;1;1;2;3;1;1;3;1
363;363;2;1;1;2;0;1;0;0;0;1;1;3;3;1;3;0
364;364;1;2;2;0;0;0;1;0;0;0;1;2;1;1;2;3
365;365;2;1;1;2;0;3;2;0;0;0;0;3;3;3;2;2
366;366;3;0;0;0;2;2;1;2;0;3;0;3;2;2;1;3
367;367;2;1;0;2;0;1;0;0;0;0;3;2;0;0;3;0
368;368;0;0;0;1;0;0;0;1;0;0;2;2;1;0;2;0
369;369;3;0;0;0;0;3;0;2;0;1;0;3;3;3;0;2
370;370;1;1;1;1;1;3;1;1;2;1;2;3;3;3;3;0
371;371;2;0;2;3;0;0;0;1;0;1;2;1;0;0;3;3
372;372;2;0;2;0;0;2;1;0;0;1;3;3;1;2;3;1
373;373;1;0;1;2;0;1;0;0;0;2;0;1;0;0;1;3
374;374;1;1;0;2;0;0;0;0;0;0;1;0;0;0;3;0
